Date,price
1992-06-01,417.30
1992-06-02,413.50
1992-06-03,414.59
1992-06-04,413.26
1992-06-05,413.48
1992-06-08,413.36
1992-06-09,410.06
1992-06-10,407.25
1992-06-11,409.05
1992-06-12,409.76
1992-06-15,410.29
1992-06-16,408.32
1992-06-17,402.26
1992-06-18,400.96
1992-06-19,403.67
1992-06-22,403.40
1992-06-23,404.04
1992-06-24,403.84
1992-06-25,403.12
1992-06-26,403.45
1992-06-29,408.94
1992-06-30,408.14
1992-07-01,412.88
1992-07-02,411.77
1992-07-06,413.84
1992-07-07,409.16
1992-07-08,410.28
1992-07-09,414.23
1992-07-10,414.62
1992-07-13,414.87
1992-07-14,417.68
1992-07-15,417.10
1992-07-16,417.54
1992-07-17,415.62
1992-07-20,413.75
1992-07-21,413.76
1992-07-22,410.93
1992-07-23,412.08
1992-07-24,411.60
1992-07-27,411.54
1992-07-28,417.52
1992-07-29,422.23
1992-07-30,423.92
1992-07-31,424.21
1992-08-03,425.09
1992-08-04,424.36
1992-08-05,422.19
1992-08-06,420.59
1992-08-07,418.88
1992-08-10,419.42
1992-08-11,418.90
1992-08-12,417.78
1992-08-13,417.73
1992-08-14,419.91
1992-08-17,420.74
1992-08-18,421.34
1992-08-19,418.19
1992-08-20,418.26
1992-08-21,414.85
1992-08-24,410.72
1992-08-25,411.61
1992-08-26,413.51
1992-08-27,413.53
1992-08-28,414.84
1992-08-31,414.03
1992-09-01,416.07
1992-09-02,417.98
1992-09-03,417.98
1992-09-04,417.08
1992-09-08,414.44
1992-09-09,416.36
1992-09-10,419.95
1992-09-11,419.58
1992-09-14,425.27
1992-09-15,419.77
1992-09-16,419.92
1992-09-17,419.93
1992-09-18,422.93
1992-09-21,422.14
1992-09-22,417.14
1992-09-23,417.44
1992-09-24,418.47
1992-09-25,414.35
1992-09-28,416.62
1992-09-29,416.80
1992-09-30,417.80
1992-10-01,416.29
1992-10-02,410.47
1992-10-05,407.57
1992-10-06,407.18
1992-10-07,404.25
1992-10-08,407.75
1992-10-09,402.66
1992-10-12,407.44
1992-10-13,409.30
1992-10-14,409.37
